,Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
114,02.01.2024,BVI,BV PORTFÖY İKİNCİ SERBEST FON,0.976596,"21,610,204.0",6,"21,104,435.0"
115,02.01.2024,BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),2.69754,"19,808,757.0",72,"53,434,919.55"
116,02.01.2024,BVT,AZİMUT PORTFÖY GÜNEY SERBEST ÖZEL FON,2.233648,"40,845,712.0",10,"91,234,926.49"
117,02.01.2024,BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,1.14157,"72,641,364.0",309,"82,925,204.97"
118,02.01.2024,BVY,AZİMUT PORTFÖY UE SERBEST (DÖVİZ) ÖZEL FON,0.0,0.0,0,0.0
119,02.01.2024,BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,1.344187,"39,541,036.0",22,"53,150,557.53"
120,02.01.2024,CAF,ALLBATROSS PORTFÖY ALTİUS SERBEST FON,1.029389,"30,534,783.0",14,"31,432,184.82"
121,02.01.2024,CBN,QNB FİNANS PORTFÖY CBN SERBEST (DÖVİZ) ÖZEL FON,29.526605,"11,728,232.0",4,"346,294,872.47"
122,02.01.2024,CEY,ROTA PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON,33.965872,"5,075,935.0",1,"172,408,560.04"
123,02.01.2024,CJD,AK PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) FON,31.360024,"4,873,873.0",69,"152,844,776.46"
124,02.01.2024,CJF,AK PORTFÖY ADOC SERBEST (DÖVİZ) ÖZEL FON,33.383889,"29,664,121.0",3,"990,303,713.87"
125,02.01.2024,CJG,AK PORTFÖY SDSD SERBEST (DÖVİZ) ÖZEL FON,33.575669,"38,793,734.0",1,"1,302,525,577.04"
126,02.01.2024,CJH,AK PORTFÖY DOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,34.103644,"87,534,642.0","1,384","2,985,250,300.67"
127,02.01.2024,CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,31.960817,"17,573,569.0",662,"561,665,623.96"
128,02.01.2024,CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,0.99421,"5,102,428.0",82,"5,072,886.17"
129,02.01.2024,CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,1.050614,"65,047,140.0","2,487","68,339,452.07"
130,02.01.2024,CSD,İŞ PORTFÖY CANO SERBEST (DÖVİZ) ÖZEL FON,33.443409,"10,420,749.0",1,"348,505,371.55"
131,02.01.2024,CSH,A1 PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),2.17294,"197,045,396.0",70,"428,167,797.4"
132,02.01.2024,CTF,İŞ PORTFÖY ASSG SERBEST (DÖVİZ) ÖZEL FON,4.699234,"38,215,557.0",1,"179,583,830.84"
133,02.01.2024,CTG,İŞ PORTFÖY FEFON SERBEST ÖZEL FON,3.989099,"2,166,304.0",1,"8,641,602.06"
134,02.01.2024,CTM,İŞ PORTFÖY KEFON SERBEST ÖZEL FON,3.346757,"2,582,372.0",1,"8,642,570.77"
