Fon Kodu	Tarih	Attribute	Value
AFT	2024-02-04	ISIN Kodu	TRYAKBK00144
AFT	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AFT	2024-02-04	Fonun Risk Değeri	6
AFT	2024-02-04	Min. Alış İşlem Miktarı	1
AFT	2024-02-04	Fonun Faiz İçeriği	
AFT	2024-02-04	Son İşlem Saati	17:45
AFT	2024-02-04	İşlem Başlangıç Saati	09:00
AFT	2024-02-04	Min. Satış İşlem Miktarı	1
AFT	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AFT	2024-02-04	Çıkış Komisyonu	
AFT	2024-02-04	Fon Satış Valörü	3.0
AFT	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AFT	2024-02-04	Fon Alış Valörü	1.0
AFT	2024-02-04	Giriş Komisyonu	
AFT	2024-02-04	Kodu	AFT
AFV	2024-02-04	Kodu	AFV
AFV	2024-02-04	Fon Satış Valörü	3.0
AFV	2024-02-04	Çıkış Komisyonu	
AFV	2024-02-04	ISIN Kodu	TRYAKBK00466
AFV	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AFV	2024-02-04	Min. Alış İşlem Miktarı	1
AFV	2024-02-04	Giriş Komisyonu	
AFV	2024-02-04	Fonun Faiz İçeriği	
AFV	2024-02-04	Fon Alış Valörü	1.0
AFV	2024-02-04	Fonun Risk Değeri	6
AFV	2024-02-04	Max. Alış İşlem Miktarı	90.000.000.000
AFV	2024-02-04	Min. Satış İşlem Miktarı	1
AFV	2024-02-04	Son İşlem Saati	17:45
AFV	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AFV	2024-02-04	İşlem Başlangıç Saati	09:00
AGC	2024-02-04	Min. Alış İşlem Miktarı	1
AGC	2024-02-04	Fonun Risk Değeri	6
AGC	2024-02-04	İşlem Başlangıç Saati	09:00
AGC	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AGC	2024-02-04	Max. Satış İşlem Miktarı	90.000.000.000
AGC	2024-02-04	Fonun Faiz İçeriği	
AGC	2024-02-04	Fon Satış Valörü	3.0
AGC	2024-02-04	Fon Alış Valörü	1.0
AGC	2024-02-04	Son İşlem Saati	17:45
AGC	2024-02-04	Giriş Komisyonu	
AGC	2024-02-04	Çıkış Komisyonu	
AGC	2024-02-04	ISIN Kodu	TRYAKPO00468
AGC	2024-02-04	Kodu	AGC
AGC	2024-02-04	Min. Satış İşlem Miktarı	1
AGC	2024-02-04	Max. Alış İşlem Miktarı	9.000.000.000.000
AHI	2024-02-04	İşlem Başlangıç Saati	09:00
AHI	2024-02-04	Fonun Faiz İçeriği	
AHI	2024-02-04	ISIN Kodu	TRYATLP00028
AHI	2024-02-04	Kodu	AHI
AHI	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AHI	2024-02-04	Fon Alış Valörü	1.0
AHI	2024-02-04	Fonun Risk Değeri	6
AHI	2024-02-04	Min. Satış İşlem Miktarı	1
AHI	2024-02-04	Son İşlem Saati	17:30
AHI	2024-02-04	Çıkış Komisyonu	
AHI	2024-02-04	Max. Satış İşlem Miktarı	
AHI	2024-02-04	Fon Satış Valörü	2.0
AHI	2024-02-04	Max. Alış İşlem Miktarı	
AHI	2024-02-04	Giriş Komisyonu	
AHI	2024-02-04	Min. Alış İşlem Miktarı	1
AHN	2024-02-04	Fon Alış Valörü	1.0
AHN	2024-02-04	Max. Alış İşlem Miktarı	
AHN	2024-02-04	Çıkış Komisyonu	
AHN	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AHN	2024-02-04	Son İşlem Saati	17:30
AHN	2024-02-04	Max. Satış İşlem Miktarı	
AHN	2024-02-04	Min. Alış İşlem Miktarı	1
AHN	2024-02-04	Kodu	AHN
AHN	2024-02-04	Giriş Komisyonu	
AHN	2024-02-04	Fon Satış Valörü	3.0
AHN	2024-02-04	Fonun Faiz İçeriği	
AHN	2024-02-04	Fonun Risk Değeri	
AHN	2024-02-04	Min. Satış İşlem Miktarı	1
AHN	2024-02-04	İşlem Başlangıç Saati	09:00
AHN	2024-02-04	ISIN Kodu	TRYATLP00044
AHU	2024-02-04	Fonun Risk Değeri	-
AHU	2024-02-04	Kodu	AHU
AHU	2024-02-04	Min. Satış İşlem Miktarı	1
AHU	2024-02-04	Fon Alış Valörü	1.0
AHU	2024-02-04	Min. Alış İşlem Miktarı	1
AHU	2024-02-04	Fon Satış Valörü	1.0
AHU	2024-02-04	Max. Satış İşlem Miktarı	
AHU	2024-02-04	Çıkış Komisyonu	
AHU	2024-02-04	ISIN Kodu	TRYATLP00051
AHU	2024-02-04	Fonun Faiz İçeriği	
AHU	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AHU	2024-02-04	Son İşlem Saati	17:30
